"Klostermann Josef","Tanja Campbell","Bahnhofstrasse 53",47.2959518433,16.4442157745
"Hofer-Moser Albin Dr","Vivaan Wells","",46.9506263733,14.4060497284
"Restaurant Bombay","Vihaan Michel","",46.6263885498,13.3710899353
"Robatsch Gerhard","Manon White","",47.2927436829,12.9626731873
"Thaler Eva Maria Mag Dr","Angelika Bertrand","",46.8701858521,14.469953537
"Postamt 9556 Liebenfels","Pranav Brown","",47.3233718872,9.1423501968
"Bogdanovic Bozidar","Jennifer Srini","Nr 4",-0.5282999873,166.9221496582
"GGS-Großküchen und Gastronomie Service GesmbH","Christina Verma","Arnulfpl 2",46.6209983826,14.3107805252
"Petermann Brigitte - Mobilfriseurin","Raphaël Nath","Florag 7",48.1940345764,16.3671455383
"Sand- u Kieswerke GmbH & Co KG","Aarav Morel","Eisengasse 6a",47.4148902893,9.7437753677
"Jakob Schnell Ges.m.b.H. & Co KG","Marcel Kennedy","Alte Gasse 26",47.9240188599,16.181520462
"Auskunftei-Detektivunternehmen Werner Machacek","Niklas Weber","Friedrich-Kaiser-Gasse 63-65",48.2118606567,16.3225803375
"Unterleitner Inge Dr","Riya Nath","Penzinger Strasse 90",48.1897354126,16.3023033142
"Coiffeur Feischl","Dhruv Taylor","Ruster Str 89",47.8363876343,16.5287322998
"Weber Franz Ing","Julia Thompson","",47.5250205994,14.3263511658
"Schmied Hans","Inès Meyer","Bayernstr 376",47.8185081482,12.9830379486
"Ryda Klaus","Martina Davies","Rhombergstr 11",47.2993240356,11.5083971024
"Blumenboutique Renate","Riley Leroy","Wipplingerstr 36-38",48.215587616,16.3653678894
"Freiwillige Feuerwehr Hackenbuch","Anna Mehta","Salzachtal Bundesstr 104",47.7352714539,13.0663318634
"Siciliano Ristorante Italiano","Sophie Green","Weißkirchner Str 40",48.1842575073,14.1118106842
"Volksschule","Mia Campbell","Babenbergerstr 9/8",48.2025604248,16.3615627289
"Alte Stadtapotheke","Karolin Raji","Wienerstrasse 25",48.3384132385,16.3391265869
