"Wendy's Supa Sundaes","Sara Anand","Private Mail Bag 92-210, Auckland Mail Centre, Auckland ANZ Centre, 23-29 Albert Street",36.5977554321,-119.1045761108
"Australia High Commission","Isabella Phillips","1 Waikaukau Rd",36.5977554321,-119.1045761108
"Kildonan Highland House Ltd","Dhruv Robertson","22 St Heliers Bay Rd",-36.8507156372,174.8577575684
"Mead Mower & Chainsaws","Robert Patel","4 Smales Rd ETmki",36.5977554321,-119.1045761108
"Dakota Surf Denim Street Store","Niklas Clarke","80 King St",-37.195728302,174.9302520752
"Quinns Auctions","Avani Vijaya","Town Cen",-36.9158401489,174.8790435791
"Continental","Uwe Knight","132 Gordon Rd",-45.8748931885,170.3480072021
"Mansfield Fabrics Ltd","Karolin Wood","28 Hurstmere Rd",-36.7883758545,174.7723236084
"Forbes Advertising Studios","Kerstin Arun","33 Waterloo Rd",-41.2087898254,174.9069976807
"Rockgas Blenheim","Kristin Hoffmann","Coastlands Pde",-40.916595459,175.0055236816
"SAFER Centre","Avani Suri","21st Floor, ASB Building",36.5977554321,-119.1045761108
"Front-Line Training Consultancy Ltd","Sophie Schulz","PO Box 35, ASB Bank Centre, 135 Albert Street, Auckland ",-36.8473815918,174.7657318115
"Waimoana Beach Horse Treks","Nathan Wilson","Glen Innes",-36.8730545044,174.8684234619
"Bask NRG House","Aaradhya Subramani","10 Donovan St",36.5977554321,-119.1045761108
"Bill Kora Recording Studio","Klaudia Schulz","132 Main Hwy",36.5977554321,-119.1045761108
"Graphic Maintenance","Leon Srini","138-144 Queen Street",36.5977554321,-119.1045761108
"Cooke Howlison Toyota","Vanessa David","228-230 Stoddard Rd MtRkl",36.5977554321,-119.1045761108
"Conroy Removals Ltd","Nathan Jones","278 Penrose Rd Pnrse",-36.9089279175,174.8206939697
"Tarrant Cotter & Co","Shaurya Mason","Cnr Gt South Rd & King St",36.5977401733,-119.1045837402
"Avia Air Charter","Ulrich Johnson","Cnr Lake Rd &",36.5977401733,-119.1045837402
"Quadrant Pacific Ltd","Tom Johnson","Cnr Mayoral Dv &",36.5977554321,-119.1045761108
"Dig A Tattoo","Nathan Moreau","Howick 85 Picton St",-36.8841094971,174.7704162598
"Water Dynamics","Patrick Shan","Manukau City Centre Wiri",-37.0013275146,174.8673095703
"Leon Petrie","Oliver Roux","Otara Town Cen",-36.9539337158,174.8621673584
"Folio Model & Talent Management","Jessica Wilson","Penrose 495a Gt South Rd",-36.8841094971,174.7704162598
"PACT West Coast","Melanie Anand","St Lukes Sq Shopg Cen",-36.771812439,174.7649841309
"Egosynchro","Sven, Swen Lal","102 Gloucester St",37.6056594849,-76.5378341675
"Epsom Cobblers & Footwear Specialists","Sara Sara","12 Don St",-46.4106292725,168.3481445312
"Taheke South Devon Cattle Stud","Petra Pal","134/136 Great South Rd",-37.0614089966,174.9415130615
"Inplan Design Limited","Riley Mercier","226 Trafalgar Street",39.5534706116,-121.7654876709
"Wanaka Wholesale Liquor","Jessica Pal","226-228 Lambton Qy",-41.2831230164,174.7754211426
"Aaron C Adams Dip Pod","Marina Weber","23 Queen St",-41.2608108521,174.9461669922
"Papakura Engine Specialists","Anaya Sharma","29 Waterloo Rd, Lower ",-41.2087364197,174.9067840576
"Victor Packaging Ltd","Marina Lee","315-325 Karangahape Rd",36.5977554321,-119.1045761108
"Star Charters","Steffen Mittal","501 Pollen St",41.3946228027,-72.1126785278
"Abstel-Glyde Consultants","Harry Aggarwal","61 Tongariro St",-38.6807098389,176.0697479248
"Vox Pop Productions Ltd","Steffen Hoffmann","Cnr Fenton & Hinemoa Sts",-40.6020202637,175.8889160156
"Wainuiomata Golf Club Inc","Karin André","Cnr Main & Irk Sts",39.2630386353,-78.3321380615
"Pakuranga Glass Ltd","Raphaël Nath","Cnr Marine Pde & Locke St",-39.0386390686,177.4270324707
