"Ray Selby Steering And Suspension Service","Kerstin Arun","Shop 4 Stavris Complex",-12.4962596893,131.045791626
"Jack Gayler","Katja Prasad","Stuart Hwy",-12.5167131424,131.032867432
"Double Bay Flight Centre","Aadhya Nath","95 Bastin Rd",-12.5061092377,131.066635132
"Younis Charles C","Kerstin Thompson","8 Victoria Drv",-12.4902601242,130.981109619
"Shell Co Of Australia Ltd The","Vihaan Jackson","9 Tulagi Rd",-12.4683790207,130.990234375
"Ang W Y & H L Drs","Klaudia Dixon","Suite 2/ 6 Maluka St",-12.4815387726,130.987594605
"Water Technology Australia","Aaradhya Fischer","Unit 10/ 41",-12.4703302383,130.987075806
"MBC Constructions","Jessica Narayan","16 Adams Rd",-12.4752006531,130.989486694
"Taylor, Bruce E","Sarah Schulz","5 Violet St",-27.2292537689,153.113525391
"Something Special Jewellers","Raphaël Kishore","Shop 8 Fountain Court, 141 Sutton St",-27.2285785675,153.114273071
"Medina Hair & Beauty","Camille Mittal","19 Davis St",-27.2170467377,153.109451294
"Cardinal Security Services","Paul Durand","74 High St",-27.226234436,153.092346191
"Australian Locksmiths Association Inc","René Meyer","1 Marine Pde",-27.2348880768,153.114120483
"Camberwell Endodontics","Ira Becker","PO Box 177",-27.2221698761,153.107223511
"Hitech World","Mathis Narayan","116 John St",-27.2290802002,153.113174439
"Bay City Broadcast Engineering","Krishna LLoyd","425 Elizabeth Ave",-27.2264480591,153.084335327
"Mobil Oil Aust Pty Ltd","Petra James","86 Sutton St",-27.2284984589,153.114532471
"Kingsway Financial Assessments Pty Ltd","Diya Prasad","19 High St",-27.2268924713,153.094818115
"Rocla","Daniel Mittal","45 Intrepid Crt",-27.2122955322,153.099731445
"Alfrentiu Tiling","Birgit Roux","127 Mein St",-27.200214386,153.113311768
"Cecilia Folkes Building Design","Sara Kishore","7 Dalton St",-27.2241859436,153.091659546
"Kevin's Alsahra Kerbabs and Pizza","Daniela Bernard","210 Anzac Ave",-27.2268505096,153.086730957
"Martin Metal Works","Marie Robinson","PO Box 292",-27.2171897888,153.080276489
"Penta Mario Dr","Kayaan Malhotra","236 Anzac Ave",-27.2268829346,153.086990356
"Schumacher Automotive","Ava Jackson","14 Krebs St",-27.2282524109,153.08996582
"Fire Brigades-NSW","Aanya Phillips","Bayview Ave",-38.6310958862,145.726226807
"Brain Juice Solutions Pty Ltd","Susanne Goel","176- 178 Graham St",-38.6062202454,145.588134766
"Agents Alliance Real Estate","Brigitte Durand","38 Inverloch Rd",-38.6071968079,145.605316162
"La Trattoria Pizza","Christin Fox","PO Box 787",-38.6069564819,145.593017578
"Movies 4 U Tanah Merah","Sebastian Weber","19 Billson St",-38.6072692871,145.588928223
"Ken Dowling Hair Fusion & Hair Replacement Centre","Andreas Butler","Pender Rd",-38.477722168,145.468093872
"Revamp Upholstery","Ursula Rana","Murdoch University Veterinary Hospital Murdoch Drv",-32.0631217957,115.836212158
"Wadsworth David","Vihaan Wilson","60 Prescott Drv",-32.0614547729,115.82711792
"Thomas R B","Akshara Laurent","8- 10",-32.0510902405,115.816299438
"Wodonga Auto Air","Markus Mason","Shop 3 8 Moresby St",-31.9881267548,115.879920959
"Bradco Engineering","Saanvi Black","14 Hardy St",-31.9758682251,115.850357056
"Humphrey - Reeve H J","Benjamin Goel","22 Charles St",-31.9767341614,115.850776672
"Shipway Hotel Motel Brokers","Lukas Robertson","22 Bowman St",-31.9737491608,115.850700378
"Coast Cash Register Sales & Service","Krishna Durand","15 Lyall St",-31.9746932983,115.850036621
"The Irma J Smith House Of Fashion","Isla Chander","20 Redmond St",-32.0223655701,115.868331909
"Ackland R & Sons","René Srini","61 Welwyn Ave",-32.0193977356,115.869018555
"Lim E H","Brigitte Vijaya","25 Preston St",-31.9938774109,115.859230041
"Gold Knitwear","Aarav Patel","3 Downey Drv",-32.0129508972,115.864807129
"Javelin Smash Repairs","Frank Raman","33 Moolyeen Rd",-32.0405731201,115.848640442
"Shaweld Engineering Structural Steel Fabricators","Franziska Clarke","4 Kearns Crs",-32.0103416443,115.83480835
"Grahams","Maximilian Lal","861 Canning Hwy",-32.0155525208,115.843597412
"Oberon Management Systems","Pranav White","P.O.Box 1171",-32.0111274719,115.852958679
"Drok Annalise","Alexander Taylor","1 Spinaway Crs",-32.0415992737,115.848487854
"Northpoint Toyota Reconditioning","Dennis Wells","58 Kishorn Rd",-32.0129318237,115.849128723
"Cisco Schmetzer","Diya Raji","45 Tweeddale Rd",-32.0094718933,115.842460632
"Bill McGuire & Associates","Peter Prasad","Suite 15 / 7 The Esplanade",-32.0135192871,115.850517273
"Douglas Gordon & Associates","Jürgen Durand","Suite 15, 58 Kishorn Rd",-32.0129318237,115.849128723
"Architects Dewar & Associates Pty Ltd","Petra Hall","21 Glenelg St",-32.0119972229,115.838882446
"Bubs Baby Shop","Ritvik Powell","10 Carroll St",-32.0242156982,115.829902649
"Des Skinner Design & Drafting","Silke Thomas","7 Gundill St",-32.0346412659,115.824226379
"Mid Murray Vermin Bird Controllers","Louise David","55a Norma Rd",-32.0383377075,115.822143555
"Architectural Joinery","Benjamin Mason","Unit 1/ 9 Thurso Rd",-32.0455360413,115.808792114
"SACS","Robert Chander","Kiosk K19 Garden City 125 Riseley St",-32.0323371887,115.838020325
"Sue Cheng Dr. - Chinese Medicine Clinic","Ursula Lambert","164 Bannister Rd",-32.0588035583,115.910499573
"Industrial Automation Products Pty Ltd","Lilou Taylor","Unit 5, 144 Bannister Rd",-32.0582199097,115.913772583
"Shell Langwarrin","Lukas Arun","9-11 Bannister Rd",-32.0589256287,115.932006836
"Kiss Perfumery","Sven, Swen Hall","U12/ 288 Amherst Rd",-32.0881538391,115.94140625
"Proficient Dental Laboratory","Pranav King","Showroom 8/ 83",-32.0615768433,115.901451111
"Turcons Panel Beating & Spray Painting","Ursula Raje","36 Bannick Crt",-32.0626869202,115.921859741
"Grange Chiropractic Clinic","Tanja Clarke","155 Vulcan Rd",-32.0597953796,115.903686523
"Australian Monitoring & Surveillance Pty Ltd","Michael Narayan","51 Eastwood Pde",-32.0935211182,115.909317017
"Port Melb Yacht Club","Marina Suri","Cnr Bannister & South Rds",-32.0802612305,115.928581238
"Guy's Menswear","Eva Pal","10 Sherman St",-32.0567131042,115.911140442
"Demijohn Proprietors","Aanya Anand","150 Bannister Rd",-32.0583572388,115.912857056
