"Aide Aux Obeses Handicapes Inc","Birgit Garcia","4280 Main St",49.2467727661,-123.10093689
"Windsor Plywood","Sabine Roberts","1991 Aut Laval O",45.5795326233,-73.746307373
"J M Woodbending","Kerstin Arun","555 Boul DE L'Universite E",48.4216003418,-71.0682754517
"Crystal Printing Ltd","Eric, Erik Becker","",43.8098335266,-79.5245437622
"C Ricci & Son Construction Inc","Tim Wright","",50.9879875183,-113.979194641
"Spectacles","Jens Smith","551 Chatham St",48.4308853149,-123.368392944
"Rogers Video","Diya Madan","143 Boul Jutras E",46.0550384521,-71.9453811646
"Happiness Is Inc","René Vincent","4316 Boul Saint-Laurent",45.5188522339,-73.5837478638
"Garage Marcel Villeneuve Inc","Gabriel Nath","4229 Boul Notre-Dame",45.5383644104,-73.7560653687
"Scotiabank","Kristian Leroy","2000 Industriel Blvd",45.8441772461,-72.5938644409
"Accurate Drywall Systems","Tom David","",53.5102005005,-113.320075989
"Coco Lezzone Resto & Bar","Heike Durand","424 13 St N",49.7049751282,-112.82434082
"Hood's Financial Fitness Ntwrk","Kabir Garcia","General Delivery",47.8827552795,-55.6992034912
"Ferme Cote Joyeuse Inc","Gabriel Laurent","114 4 Ave E",51.5274162292,-111.207946777
"Coates & Best Office Supply","Navya Vincent","12836 146 St NW",53.5858383179,-113.572013855
"A M Legal Svc","Birgit LLoyd","3585 Rue Queen",46.0409164429,-73.7051849365
"Anglican Rectory St Luke's","Manon Thomas","121 5E Av E",48.8051261902,-79.1989059448
"Mc Donald's","Andrea Murphy","5401 Boul Des Galeries",46.831237793,-71.2956771851
"M M Woodcraft","Vivaan Ali","",49.4066886902,-96.8513031006
"Bernice's Dressmaking & Altrtn","Christian Clarke","50 5E Av E",48.8054695129,-79.2024459839
"Henry Braun Public Elem Schl","Katharina Robinson","460 St. George St",46.0890617371,-64.7926864624
"Rushton Dry Cleaners","Aarohi White","29 8 St NW",50.049659729,-110.688018799
"Refrigeration Unicam Inc","Jörg Rai","1275 Fairfield Rd",48.4155654907,-123.349525452
"Tru Line Collision Ctr","Enzo Müller","8020 Rue Jean-Brillon",45.4343452454,-73.6156921387
"Woodside Welding","Anika Sethi","12975 84 Ave",49.1556777954,-122.863113403
"A Chiropody Clinic","Sarah Michel","9657 Rue Clement",45.4347801208,-73.6529769897
"Infoplace","Christian Verma","556 Bryne Dr",44.3276557922,-79.688369751
"Curious Comics","Darsh Lal","",43.7472305298,-79.1998291016
"Discount Location D'Autos","Marco Malhotra","",43.8117523193,-79.3592071533
"Ipc Securities Corp","Aaradhya Suri","987 Boul Moody",45.6999511719,-73.6469268799
"Walnut Grove Cruise & Travel","Sai Raje","222 Front St",52.9760284424,-122.49772644
"Alberta Products Pipeline","Lea Sai","5377 Walkers Line",43.5110359192,-79.8838882446
"Winky Salon","Susanne Morel","10204 Hwy 3",43.8255081177,-66.0688323975
"Presbytere Baieville","Lily Robert","21 Micmac Dr",44.6948623657,-63.5445976257
"B T Shoe Repair","Doreen Williams","526 Rue Champlain",45.6335678101,-71.592010498
"Industrial Plastics & Paints","Eric, Erik Clarke","69 Shallmar Blvd",43.7034187317,-79.4302978516
"Best Bargains","Franziska Chande","142 Kendall St",42.9950065613,-82.4019622803
"Boyd Autobody & Glass","Nadine Raje","730 Tyee Rd",48.4350662231,-123.381980896
"Uptown Collision","Jens François","",50.9939498901,-113.984130859
"Tire World Abs","Jessica Subramani","4441 Boban Dr",49.2085418701,-124.038787842
"Garage Valiant","Robert Michel","",49.4250831604,-82.4289779663
"Simons, Eden DC","Prisha Shan","17 Rue Du Pont",46.205291748,-75.9527359009
"Wags & Wiggles Pet Stop","Niklas Mason","1350 Colborne Rd",43.0036239624,-82.3879089355
"Burwick Welding & Custom Fab","Sara Lefèvre","",45.4786262512,-80.1802520752
"Phoenicia Diplomatiques","Kerstin Green","",49.2444343567,-122.972763062
"Lions Head Canvas Works","Barbara Thompson","2277 Maitland St",44.6538276672,-63.5843391418
"Boys & Girls Club of Hinton","Anna Michel","5 Fead St",43.9237556458,-80.0994567871
"Mc Carthy, Todd J","Paul Shaw","329 Rue Saint-Paul",46.816608429,-71.2122497559
"Caisses Desjardins","Inès Vincent","",49.1781845093,-123.129402161
"Prime Enterprises Inc","Kabir Bertrand","",49.8869590759,-97.1356811523
"Carpentry Plus Bldg Trades","Kathrin Leroy","6480 Victoria Dr",49.2255096436,-123.065513611
"River Pointe Shops","Enzo Subram","221 Ch Freeman",45.4722099304,-75.7476654053
"Boutique Erotika","Inès Green","19 Whitewood Ave E",47.5087776184,-79.6708221436
"A Buck or Two","Steffen Evans","386 Wilson St E",43.2279014587,-79.9755325317
"Glen & Paul Magder Furs","Thorsten Thompson","",43.7896652222,-79.2358398438
"Kee's Tae Kwon DO","Lilou Subramani","2808 Dunrobin Rd",45.4228973389,-76.0211105347
"Boutique Du Quartier Enr","Michael Mittal","5970 Beresford St",49.2176437378,-122.976387024
"Instinct Multimedia","Leon Moreau","929 Rue Saint-Zotique E",45.5383224487,-73.6061782837
"Cadtoon Consulting Corp","Aryan Prasad","",45.9850463867,-73.44556427
"Employment Assistance Svc","Krishna Durand","",51.0048141479,-114.116798401
"Fairhaven Car Wash & Gas Bar","Sven, Swen Michel","112 Main St",49.4788780212,-111.440956116
"1850","Chloé James","",43.610168457,-79.5831222534
"A's Fish & Chips","Ethan Fischer","",44.6525993347,-63.5764732361
"Montreal Kosher Bakery","Frank Richard","3255 Rue Masson",45.551071167,-73.5731124878
"Henry Orthotics","Mandy Robertson","183 Hendershott Rd",43.1985397339,-79.8377380371
"Bardon Supplies","Silke Phillips","14 Lisa St # 33",43.7122154236,-79.7273330688
"Nickel's Collision Ctr","Sarah Fournier","Battery Site",49.3897895813,-101.874641419
"Loomex Electrique Ltee","Monika Williams","39 Kirkpatrick St",48.1486473083,-80.0352630615
"Royal Bank Financial Group","Avani Dupont","",51.0413665771,-114.066482544
"Canoak Flooring Ltd","Ayaan White","116 Lansdowne St E",44.2894020081,-78.3010406494
"Valleyview Seed Cleaning","Thomas Mason","3100 Rue DE Miniac",45.495891571,-73.7521057129
"Cotton's Auto Care Ctr","Sara Martinez","",50.8374633789,-118.976577759
"Community Cooperative Ent","Riya Subram","2015 Park Royal S",49.324432373,-123.140090942
"Aiken, Melvyn H","Raphaël Subram","",52.4432144165,-109.15801239
"Murray's Office Svc Ltd","Gabriele Ali","37 Ridout St S",42.9755325317,-81.2505111694
