"FDM travel","Marco Moreau","Hvidovrevej 328",55.6384086609,12.4792003632
"Hammel-Hallerne","Emily Bernard","Korsgade 3",55.0583839417,10.6105098724
"Nielsen, Jan Heichelmann","Sabine Roberts","Strandvejen 96",55.7320632935,12.575963974
"Solbakketømreren","Diya Robinson","Møllevangs Alle 144",49.7092018127,4.9393601418
"Støvsugerspecialisten Brügmann ApS","Ines Jackson","Nørregade 25",55.2517318726,9.4880371094
"Andersen, Erik De Place","Eric, Erik Becker","Ølbyvej 31",56.4910583496,8.5788459778
"KN Fuge- & bygningsservice ApS","Pari Prasad","Borgergade 9",55.3627548218,11.2608423233
"Prehn Grafisk Tegnestue","Ulrike Leroy","Amaliegade 39",55.8624763489,9.8588533401
"Dahls Snedkeri","Isla Robertson","Hvidovrevej 134 A",55.6580238342,12.4729795456
"Egernsund Sogns Menighedsråd","Kristian Shaw","Gl. Hobrovej 80",56.4676704407,10.0206298828
"Bakken, Børnehaven","Ishaan Hall","Ørbækvej 75, Rosengårdcentret",55.3316917419,10.4583454132
"Skjold Legestue","Uwe Mehta","Nyborgvej 110",55.0683403015,10.6295824051
"Gudumholm Kirkes Menighedsråd","Angelika Sara","Glentevej 13",55.674369812,12.3986310959
"PP Tryk & Papir","Gabriel Fox","Østerbrogade 27",56.4139823914,10.8851461411
"Klingenberg, Bent","Riya Nath","Borgergade 75",56.1810035706,9.5487365723
"Åbybro Square Dance forening","Daniela Hall","Fruevej 45",46.4432411194,-114.0768203735
"Kina Grill Cafeteria","Kristian Clarke","Bredgade 5",38.7077102661,-76.5377578735
"Pedersen, Palle","Sabrina Nath","Valbyvej 11",55.4093589783,11.3518686295
"Bent's Bodega","Emma Robert","Rugvang 36, Tarup",55.4303321838,10.274764061
"Ll. Binderup vandværk","Léa Knight","Vestergade 17",56.1682090759,9.5455904007
"Hanne's Tøj","Léa Butler","H. C. Ørsteds Vej 51",55.6777114868,12.5432500839
"Andersen, Børge","Wolfgang Wilson","Søndergade 7, Hou",55.9733161926,10.1497612
"Allstar-Danmark","Emma Anand","Sjællandsgade 22",57.0403137207,9.9366569519
"Coaster Service A/S","Tom David","Heagervej 1, Nordenskov",55.6220741272,8.482629776
"Lokalhistorisk Samling","Riya Robinson","Nørrebro 6",46.4432487488,-114.0767440796
"ROCLAND A/S","Emma Bhat","Sundvej 71",55.8687782288,9.8807210922
"PræMal","Inès François","Sejrsvej 60, Rinkenæs",60.2151107788,25.3302497864
"Ahlmann Dæk","Michael Roux","Rismarksvej 123, Højstrup",55.4303321838,10.274764061
"Galten Rideskole","Mathis Raji","Gl. Skivevej 31",56.4594154358,9.407790184
"Fynsk Montage","Anika Taylor","Herredsvej 4, Hasle",55.1830787659,14.7065896988
"Laduco Industrilakereri A/S","Sandra Vijaya","Galgebjergvej 8",55.500579834,9.4561786652
"Gevninge Bageri","Markus Wells","Juelsgade 2",55.714389801,10.0114450455
"Lene, Salon","Thomas Nath","Thorsgade 18, Thorsager",56.295917511,10.4288892746
"Bramming Handels-, Håndværker- og Industriforening","Diana Narayan","Amerikavej 21",55.6689987183,12.5423002243
