"Transports Gilbert Touze S.a.","Niklas Clarke","9 Rue Thomas Edison",48.9300003052,2.3111920357
"Solvay-interox Sa","Uwe Knight","Ld Moussidiere",44.8664855957,1.2180080414
"Daher Et Compagnie S.a.","Karolin Wood","22 Rue John Maynard Keynes Site Europarc Ch Gombert",43.3224639893,5.4177150726
"Sede Environnement S.a.","Kerstin Arun","18 Rue Marceau Leyssieux",45.184841156,5.7573289871
"C.v.e.i. S.a.r.l. - Climatisation Ventilation Electricité Industriell","Sophie Schulz","Pôle Technique Agropac Maison De L'Agriculture",43.9625434875,4.7708587646
"Palfroid S.a.","Aaradhya Subramani","64 Rue Du General Leclerc",50.6082649231,2.9888629913
"Imprimerie Richard Jamet S.a.r.l.","Vanessa David","2 Avenue De L'Universite Le Mercure",43.3215293884,-0.3432700038
"M.p.a. Industrie S.a.","Nathan Jones","16 Rue De La Tourgarnier",45.6470298767,0.1663369983
"Phyto Service S.a.","Jessica Wilson","2 Place George Sand",47.0837402344,2.3981199265
"Ecole De Musique De Laxou","Melanie Anand","28 Avenue Du Général Guillaut",42.6891975403,2.8943459988
"La Dieppoise Sa","Sven, Swen Lal","55 Boulevard Haussmann",48.8736953735,2.3267309666
"S.a. Minoterie Girardeau S.a.","Petra Pal","28 Allee Paul Riquet",43.3430747986,3.2161579132
"Castorama","Anaya Sharma","20 Rue De La Baume",48.8745193481,2.3128600121
"Forges Du Saut Du Tarn S.a.","Marina Lee","2 Rue Louis Pasteur",47.7472839355,7.342936039
"Degrave Et Marcant S.a.r.l.","Harry Aggarwal","5 Avenue Kleber",48.8721466064,2.2942380905
"Hotel Choiseul Opera","Christin Srini","9 Rue Maurice Daniel",47.2070198059,-1.5053360462
"Trans Inter Veil Et Cie","Daniela Nath","77 Rue Antoine Masson",47.1926994324,5.3877568245
"Sansen S.a.","Olivia Bhat","5 Rue Dauphine",48.2497444153,6.8999500275
"Pum Plastiques S.a.","Gabriel Fox","13 Rue Moyenne",47.0840454102,2.3956940174
"Sofacome Sa","Kyra LLoyd","Place Jean Moulin Alpe D Huez",45.082233429,6.0588350296
"Romessence Sarl","Silke Vijaya","7 Rue De La Republique Et N 9",45.7685050964,4.8318500519
"Super Decolletage S.a.","Ursula Sai","1 Place Des Degres Tour Voltaire La Def 7",48.8900794983,2.2361021042
"L.b.","Jules Patel","69 Avenue Victor Hugo",48.8703613281,2.2874560356
"C.m.f (constructions Metalliques Florentaises)","Léa Knight","226 Rue Des Quatre Castéras",44.8100242615,-0.5367000103
"Vachon Sa","Raphaël Mittal","Zi D'Alba Sud Avenue D'Allemagne",43.9897232056,1.3299540281
