"Tuna Mobilya","Wolfgang Srini","Kazim Karabekir Mah.kuslu Sok.no: 13",40.1947555542,29.0580043793
"Flok Ambalaj Ve Matbaacilik San. Tic. Ltd. Sti.","Arnav François","Yesilova Mah.ay Sok.no:5",40.2071380615,29.0653247833
"Ertur Turizm Insaat A.s.","Barbara Vijaya","Dumlupinar Mah. Ozdemir Cad. 31 Nolu Sok. No:2",37.0629463196,37.3761024475
"Anitta Tekstil","Felix Sethi","Sair Nigar Sok. No:36/1 Nisantasi-",41.0531654358,28.9905796051
"Karden Mefrusat Dekorasyon Ve Tic.ltd.sti.","Jonas Hoffmann","Uzuncarsi Mahmutpasa Fidan Han. No. 70",40.1947555542,29.0580043793
"Infotrace A.s.","Dirk Cole","Besyol Fatih Mah. Basaran Sok. No:15",40.2036361694,29.0703258514
"Tuzla Gemi Acenteligi Ve Nakliyat Tic.ltd.sti.","Nadine Roux","Gazi Cad. No:44",41.3052787781,36.3318138123
"Asya Meyve Suyu Ve Gida San. A.s.","Dieter Patel","Icadiye Mah.hasaci Raif Sk.no:24",41.0268249512,29.0361022949
"Karsan Pres Mobilya San Tic Ltd Sti","Lisa Nath","Ikitelli Org.san.bolg.metal Is San.sit.20.blok No:25/27",41.0884017944,28.7984962463
"Kantarcilar Cam San. Tic. A.s.","René Srini","Sehrekustu Okul Sok. Halicioglu Ishani No:bila",40.1947555542,29.0580043793
"Alarko San. Tic.","Jan Thompson","Inonu Cad. No:12/1 Aydogan Is Merkezi",41.0123786926,28.9759254456
"Safa Company","Zoé Richard","Nisanca Cad. No:5/a",41.0422782898,28.9304828644
"Hermes Isitma Teknigi","Mia Brown","Halkali Cad. Asli Sok. No:3 Basinexpress Yolu",41.0123786926,28.9759254456
"Hotel Cretta Caretta","Ishaan Ali","Mithatpasa Cad. Buyukhaydar Efendi Sok.no:34 Kat:2",41.0123786926,28.9759254456
"Zumrut Asansor San Ve Tic Ltd Sti","Nathan Raman","313.sok. No:53/b",38.3883857727,27.1611690521
"Hermes Yonetim Danismanlari & Egitim Merkezi","Mario Laurent","Mercan Yok. Vural Is Hani No:43/19",41.0123786926,28.9759254456
"Hicret Gida Pazari","Isla Johnson","Celal Ferdi Gokcay Sok. Anadolu Pasaji No:216",41.0123786926,28.9759254456
"Aygun Celik","Krishna Bertrand","Yunusemre Mah. Aksaray Sok. No: 52",39.9857978821,32.8403930664
"Palmoti Gomlek & Kravat","Florian Petit","Piri Reis Mah.inonu Cad.ozben Apt.no:239",36.4018478394,36.349811554
"Tems Tarim Gida Endustrisi Makina Ith.ihr.ltd.sti.","Maximilian Wells","Akkavak Sk. Loras Apt. No:6/1 D:2",41.0123786926,28.9759254456
"Targaylar Imalat San. Ltd. Sti.","Riya Chande","Macuncu S. Yesil Han No:42 Kat:3-51",41.0123786926,28.9759254456
"Camdan Mobilya","Mia Suri","Sair Nigar Sk. No:27/3",41.0531044006,28.990655899
"Nur-el-pen San. Tic. Ltd.","Atharv Schmidt","Sair Nigar Sok. Emek Apt.no: 3 D:1",41.0123786926,28.9759254456
"Man Borsan Ltd Sti","Birgit Rana","Sair Nigar Sok.aycibin Pasaji No:6/2",41.0123786926,28.9759254456
"Yazan Magnetik Fren Ve Kavrama San.","Melanie Anand","Atakent Mah.turkler Cad.ege Sok. Alparslan Is Mrkz. No: 5/52 -53",41.0123786926,28.9759254456
"Samet Parke","Laura Phillips","Baglaralti Mah.221.sok.no:1",40.183216095,29.133398056
"Cayak Lastik Plastik San. Tic. A.s.","Emma André","Bayramoglu Cad. No:70",40.811580658,29.3660984039
"Erkent Mensucat","Maximilian Hall","Imes Sanayi Sitesi E-501 Sk. No.15 Y.dudullu",41.0123786926,28.9759254456
"Ayma Hotel","Juliane Robert","Tiyatro Cad.esirci Kemalattin Cami Sok.yeni Cantacilar Psj.no: 32 -34/9 Beyazit",41.0123786926,28.9759254456
"Ozbosan Boru-profil Ltd.sti.","Martin LLoyd","Tatlikuyuhamam Sok8 Mithatpasa Cad.",41.0057601929,28.9594135284
"Ustaoglu Prefabrik Yapi Elemanlari","Dieter Wood","Balipasa Yokusu, No.10/8 Gedikpasa",41.0057601929,28.9594135284
"Ceylanci Tic. Ltd. Sti.","Tim Wright","Haramidere Sanayi Sitesi E Blok No: 217 B.cekmece",41.0057601929,28.9594135284
"Sultan Entegre Teks San Dis Tic","Ulrike Leroy","Kisla Cad. Apek Uretmen Is Merkezi",41.0057601929,28.9594135284
"Tuna Mobilya","Jens Smith","Davutpasa Cad. Kalf Is Merkezi No:57-58 Topkapi",41.0123786926,28.9759254456
"Delta Denizcilik Tic. A.s.","Gabriel Shan","A.veysel C. Hazar Sk. Ikitelli Halkali",41.0315628052,28.7946548462
"Kircioglu Hidrapor Pompa San.","Uwe LLoyd","Saray Mah. Sipahioglu Apt. B:128 D:8 Alanya",36.5466880798,31.9854431152
"Volkan Gulec","Anika Vincent","Mesrutiyet Cad. No: 163 Tepebasi",41.0319747925,28.9727535248
"Alphan-arslan Yaman","Charlie Aggarwal","Cumhuriyet Cad.yeni Mah.no:7 Kadriye Beldesi",36.8875045776,30.7031345367
"Aktif Muhendislik Taah.tic.san.ltd.sti.","Diya Madan","Balbey Mah.410.sok. No:3/c",36.8887901306,30.7049713135
"Sheraton Voyager Hotel","Daniela Nath","M.aksoy C. No.17 Zeytinburnu",40.9946670532,28.911447525
"Teknikates Atese Mukavim Malz.satis San.tic.ltd.sti.","Marina Wood","Uzun Carsi Cad. Uckapili Kismet Han. No: 49 Mercan Eminonu",41.0123786926,28.9759254456
"Simge Gida Ins.san Ve Tic.ltd.sti.","Olivia Bhat","Sanayi Cad. Bilge Sok. No:15/1 Yenibona",41.0123786926,28.9759254456
"City Logistics Dagitim","Thomas Richard","Hamalbasi Cad. No:44/1 Beyoglu",41.0352897644,28.9758415222
"Eskay Elekt. Motor San. Tic. A.s.","Jessica Garcia","Valikonagi C. No.103/16 Nisantasi",41.0123786926,28.9759254456
"Ada Ulusl. Tic. A.s.","Jörg Anand","Tiyatro Cad. No:104 Beyazit",41.005115509,28.9643783569
"Gazi Sinemasi","Anvi Cole","Turkeli Cad. No: 132/b Laleli",41.0254936218,28.9731197357
"Isilsan Tesisat Taah. Tic.san. Ltd.sti.","Akshara Roberts","Turgut Ozal Cad No:121 Ikitelli Organize San Bolgesi Haseyad Koop 34670 Ikitelli Istanbul",41.0123786926,28.9759254456
"Kalinka Turizm (antalya Sb.)","Daniela Suri","Fabrika Caddesi No:1 1.sokak 34550 Mahmutbey Istanbul",41.0123786926,28.9759254456
"Tel Metal","Anna François","Istanbul",40.9473953247,29.3950977325
"Elmer Uluslararasi Tasimacilik Ve Tic.","Darsh Malhotra","Istanbul",41.0123786926,28.9759254456
"Tip Market","Stefan Patel","Po Box 10",14.4876871109,121.0225143433
"Degirmenci Kalip San. Ltd. Sti.","Steffen Black","Po Box 55",36.9869613647,35.3281478882
"Yilay Denizcilik Ltd. Sti.","Kristian Clarke","Po Box 715",14.4876871109,121.0225143433
"Delta Mumessillik Ic Ve Dis Ticaret A.s.","Sabrina Nath","Po Box 782",41.0309181213,28.973241806
"Arslan Makina San. Tic. Ltd. Sti.","Frank Lefebvre","Istanbul",41.0123786926,28.9759254456
"Telliler Denizcilik A.s.","Lukas Mehta","Cumhuriyet Cad 22-24, Elmadag, 80200 Istanbul",40.9058456421,29.183216095
"Metsan Mak. Yedek. San. Tic. Ltd. Sti.","Felix Martinez","Cumhuriyet Cad 22-24",37.0630989075,36.2660560608
"Sema Bilgisayar","Aaradhya Durand","Izmir",38.430519104,27.1454906464
"Baklavaci Gulluoglu Faruk Gullu","Eric, Erik James","An-pa Anadolu Pazarlama Gug Urunleri San. Ve, Tic. A.s Ankara Asfalti Uzeri Soganlikoy Karsisi, Kart",39.9438743591,32.8560333252
"Ufuklar Otomotiv Tic. Ltd. Sti.","Sven, Swen James","Istanbul",41.0123786926,28.9759254456
"Eser Tezgah Tamponlari","Hugo Ali","Vali Konagi Cad 10",40.9783668518,28.7807941437
"Selay Spice And Food Additives Tecnology","Franziska Robertson","Ziyapasi Bul 14a",36.9954376221,35.3217163086
"Samed Medikal","Simone Robertson","Cevreyolu Caddesi 2/1, Bayrampasa, 34160 Istanbul",41.0442314148,28.9258918762
"Pena Dis Ticaret Tekstil San.","Zoé Richard","Asirefendi Cad.33",41.0144004822,28.9732990265
"Yavuzlar Ltd. Sti.","Sophie Sai","Cumhuriyet Bul 140/1",38.4301109314,27.1356887817
"Sc International Ata Uluslararasi Denetim A.s.","Olivia Moreau","Askerocagi Caddesi 1",41.0402488708,28.9897327423
"Doypak Paketleme Gida Mk.san.ve Tic.ltd.sti","Léa Robert","Cumhuriyet Bul 68",38.4236450195,27.1317176819
"Sadko-aktur","Paul White","Ugur Mumcu Cad 51",39.8955116272,32.8773803711
"Silah Kerestecilik San Ve Tic.ltd.sti.","Saanvi Sharma","Binbircicek Sokak 1",41.0123786926,28.9759254456
"Ezgi Bilgisayar","Kayaan Jones","G Tepe",41.2333335876,28.4166660309
"Arena Ltd.","Anika Srini","Abidinpasa Cad 41",36.9861946106,35.3314361572
"Isabella Mob.","Anke Harvey","Istanbul",40.9473953247,29.3950977325
"Boy-sat Kim. Mad. Satis Ve Paz.","Sabine Sara","Istanbul",41.0123786926,28.9759254456
"Cihan Antika","Amelia Hoffmann","Istanbul",41.0123786926,28.9759254456
"Mesi Medikal Tic. San.","Kristian Leroy","Cadesi 13, Besevler, Ankara",39.957485199,32.8540534973
"Ucler Gida San.tic.ltd.sti.","Tom David","Istanbul",41.0123786926,28.9759254456
"Aydemir Yapi Malzemeleri San.tic.ltd.sti","Mandy Moreau","Istanbul",41.0123786926,28.9759254456
"Alcon Kimya Sanayi","Frank James","Bagdat Caddesi No. 333/2",39.7372550964,37.0327835083
"Bilgic Tekstil","Maria Cole","Fevzi Cakmak Cad",38.6123962402,34.6946563721
"Knoll Alman Ilac Tic.","Monika Nita","Marasal Cakmak Cad 41",38.8808631897,40.4918403625
"Kolay Makina Ltd.sti.","Lisa Mehta","Cinnah Cad 24/a",39.8988189697,32.8587188721
"Seti Moda Denim Kumas","Martina LLoyd","Kantarci Riza Sok.",40.9668006897,29.0736713409
"Anahtarci Kenan Dayi","Klaudia Dixon","Cevdet Pasa Caddesi 288, Bebek, 80810 Istanbul",41.0748329163,29.043504715
"Zeyteks Konfeksiyon A.s","Silke Nara","Ordu Cad 7/c",37.0592765808,37.3567428589
"M.sukru Sanlimeshur","Monika Martinez","Edirne",41.6754989624,26.5604000092
"Trakya Et Ve Balik Ith.ihr.tic.a.s.","Anaya Laurent","Fomara Meydani Hasim",40.1947555542,29.0580043793
"Mutlu Mobilya","Siya Meyer","Incili Pinar Mah, Prof Dr.muammer Aksoy",37.068687439,37.36926651
"Dogset Moduler Mobilya","Navya Knight","Bankalar Cad 5",38.7186393738,35.4868392944
"Ta-ne Gida Ve Iht. Mad. Tic.ltd.sti.","Arnav Shaw","Cumhuriyet Bul 67",39.7670707703,30.5322341919
"Pro-tek Cevre Sagligi Ve Sistml.san.tic.ltd.sti.","Jules Smith","Izmir",38.430519104,27.1454906464
"Teknikelmakina Sanayi Ltd.","Manuela Sara","Mesrutiyet Caddesi No 141, Tepebasi, 80050 Istanbul",41.0319747925,28.9727535248
"Siemens Cerberus Guvenlik Sistemleri A.s.","Mathis Raji","Bagdat Cad 404",40.9224128723,29.1350097656
"Aysa Asansor Kumluca Subesi","Annett James","Cinnah Cad 102",39.8863754272,32.8551483154
"Ozhamurkar A.s.","Andrea Mittal","Cumhuriyet Cad 144",41.0903625488,29.1250247955
"Pil-san Plastik San. A.s.","Anika Taylor","Cumhuriyet Mahallesi 83",40.7787055969,30.3939437866
"Sen Kerestecilik","Sandra Vijaya","Davutpasa Cad 119",41.031036377,28.8891067505
"Atekstil","Aditya Holmes","Mimar Sinan Cad 2/a",37.7682304382,30.552947998
"Teknikoz Gemi San.a.s.","Nathan Ali","Turhan Cemal Beriker Bul",36.992855072,35.3066329956
"Hacettepe Univ. Cocuk Sag. Egitim Mezun. Dernegi","Ayaan Thomas","Ankara Cad 62",40.8990631104,29.2709522247
"Piri Denizcilik Ltd.sti.","Markus Wells","Ataturk Cad. 1",37.0768737793,37.3378067017
"Vahe Triko Tekstil San Tic Ltd Sti","Sophia Schmidt","Bankalar Cad Demirer",39.8518066406,33.5193748474
"Alteks Konf.","Zoé Black","Belediye Cad. 14",41.3787269592,33.7758293152
"Ulastirma Vergi Dairesi","Manuela Wilson","Cumhuriyet Cad 1",38.7427139282,35.5146942139
