"Williams Legal Services","Oliver Phillips","23 COMMON ST., PETERSHAM, 01366",42.4892,-72.186557
"Green Book Store","Jacob Walker","25 TEMPLETON ROAD, PHILLIPSTON, 01331",42.549441,-72.131514
"Phillips Collectables","Isla Holmes","1 WENDELL AVE., PITTSFIELD, 01201",42.447748,-73.252065
"Knight Music","Charlie Murphy","312 MAIN STREET, PLAINFIELD, 01070",42.5165066,-72.9117798
"Green Laundrette","Thomas Dixon","198 SOUTH ST., PLAINVILLE, 02762",42.0098189,-71.3390556
"Adams Pharmacy","Riley White","132 SOUTH STREET, PLYMOUTH, 02360",41.942381,-70.658049
"Robertson Fashions","Amelia Walker","12 STRAND AVE., MANOMET, 02360",41.896699,-70.6443
"Jackson Book Shop","Jack Shaw","248 MAIN ST., PLYMPTON, 02367",41.956833,-70.814991
"Johnson Hairdressers","James LLoyd","2 TOWN HALL DRIVE, PRINCETON, 01541",42.4489498,-71.8780306
"Powell Legal Services","Jessica Wright","356 COMMERCIAL ST., PROVINCETOWN, 02657",42.053272,-70.18411
"Jackson Book Store","Mia Jackson","40 WASHINGTON STREET, QUINCY, 02169",42.25116,-71.001482
"Powell Beauticians","Sophie Holmes","381 HANCOCK STREET, NO. QUINCY, 02171",42.274107,-71.026121
"Mason Fashions","Ava White","519 SEA STREET, QUINCY, 02169",42.261004,-70.979144
"Jones Bakery","William Hall","41 BEALE STREET, QUINCY, 02170",42.266741,-71.0176668
"Fox Software","Jessica Johnson","CRAWFORD SQUARE, RANDOLPH, 02368",42.1868902,-71.0816473
"Wright Fish & Chips","Thomas White","760 SOUTH MAIN ST., RAYNHAM, 02767",41.9226,-71.052759
"Shaw Software","Sophie Lee","64 MIDDLESEX AVE., READING, 01867",42.5265661,-71.1098328
"Murphy Book Store","Isla Robinson","124 BAY STATE ROAD, REHOBOTH, 02769",41.8427677,-71.2448506
"Wright Software","Olivia Clarke","179 BEACH ST., REVERE, 02151",42.4081023,-71.0094717
"Murphy Lawyers","Isabella Wilson","2821 STATE ROAD, RICHMOND, 01254",42.3610268,-73.3808115
"Roberts Cafe","Isabella Thompson","17 CONSTITUTION WAY, ROCHESTER, 02770",41.7317243,-70.8211436
"Johnson Fashions","Emily Wood","20 BELMONT ST., ROCKLAND, 02370",42.132347,-70.916801
"King Aquatics","Charlie Robinson","318 ZOAR ROAD, ROWE, 01367",42.69397,-72.899188
"Mason Book Shop","Emily Lee","141 MAIN ST., ROWLEY, 01969",42.715262,-70.879826
"Butler Delicatesan","Harry Ali","19 ON THE COMMON, ROYALSTON, 01368",42.658268,-72.157478
"Jackson Book Store","Mia Butler","162 MAIN ST., RUSSELL, 01071",42.189827,-72.853156
"Brown Beauticians","Sophie James","280 MAIN STREET, RUTLAND, 01543",42.3749909,-71.9584038
"James Fruit & Veg","Mia Robinson","370 ESSEX ST., SALEM, 01970",42.5200954,-70.9027893
"Murphy Bakery","William Kennedy","17 ELM STREET, SALISBURY, 01952",42.840157,-70.861911
"Williams Fish and Chips","Sophie Mason","23 SANDISFIELD ROAD, SANDISFIELD, 01255",42.094146,-73.085517
"Cole Book Store","Riley James","142 MAIN STREET, SANDWICH, 02563",41.758407,-70.498581
"White Computer Repairs","Thomas Evans","295 CENTRAL ST., SAUGUS, 01906",42.465305,-71.009697
"Wright Pharmacy","Amelia Shaw","720 MAIN ROAD, SAVOY, 01256",42.563787,-73.024748
"Taylor Delicatesan","Olivia White","85 BRANCH ST., SCITUATE, 02066",42.203372,-70.756482
"Robinson Entertainment","Isla Ali","410 NEWMAN AVE., SEEKONK, 02771",41.853044,-71.328982
